FIPS,State,County,% Excessive Drinking
01000,Alabama,,14.48
01001,Alabama,Autauga,15.24
01003,Alabama,Baldwin,16.42
01005,Alabama,Barbour,12.28
01007,Alabama,Bibb,14.79
01009,Alabama,Blount,14.95
01011,Alabama,Bullock,11.53
01013,Alabama,Butler,12.82
01015,Alabama,Calhoun,13.54
01017,Alabama,Chambers,12.81
01019,Alabama,Cherokee,14.36
01021,Alabama,Chilton,15.13
01023,Alabama,Choctaw,11.89
01025,Alabama,Clarke,12.29
01027,Alabama,Clay,13.70
01029,Alabama,Cleburne,14.57
01031,Alabama,Coffee,14.62
01033,Alabama,Colbert,14.67
01035,Alabama,Conecuh,11.85
01037,Alabama,Coosa,13.35
01039,Alabama,Covington,13.47
01041,Alabama,Crenshaw,13.70
01043,Alabama,Cullman,15.77
01045,Alabama,Dale,15.17
01047,Alabama,Dallas,11.20
01049,Alabama,DeKalb,14.18
01051,Alabama,Elmore,15.40
01053,Alabama,Escambia,13.01
01055,Alabama,Etowah,14.06
01057,Alabama,Fayette,13.63
01059,Alabama,Franklin,14.06
01061,Alabama,Geneva,13.45
01063,Alabama,Greene,9.44
01065,Alabama,Hale,11.58
01067,Alabama,Henry,13.41
01069,Alabama,Houston,13.89
01071,Alabama,Jackson,14.00
01073,Alabama,Jefferson,14.72
01075,Alabama,Lamar,13.81
01077,Alabama,Lauderdale,15.33
01079,Alabama,Lawrence,14.40
01081,Alabama,Lee,16.24
01083,Alabama,Limestone,15.13
01085,Alabama,Lowndes,10.65
01087,Alabama,Macon,11.59
01089,Alabama,Madison,13.95
01091,Alabama,Marengo,11.71
01093,Alabama,Marion,14.55
01095,Alabama,Marshall,14.98
01097,Alabama,Mobile,15.17
01099,Alabama,Monroe,12.51
01101,Alabama,Montgomery,14.51
01103,Alabama,Morgan,14.45
01105,Alabama,Perry,10.65
01107,Alabama,Pickens,12.58
01109,Alabama,Pike,13.78
01111,Alabama,Randolph,13.45
01113,Alabama,Russell,13.90
01115,Alabama,St. Clair,14.82
01117,Alabama,Shelby,16.84
01119,Alabama,Sumter,11.23
01121,Alabama,Talladega,13.44
01123,Alabama,Tallapoosa,13.51
01125,Alabama,Tuscaloosa,16.50
01127,Alabama,Walker,13.88
01129,Alabama,Washington,13.14
01131,Alabama,Wilcox,10.59
01133,Alabama,Winston,14.02
02000,Alaska,,19.61
02013,Alaska,Aleutians East,15.72
02016,Alaska,Aleutians West,19.57
02020,Alaska,Anchorage,19.95
02050,Alaska,Bethel,18.85
02060,Alaska,Bristol Bay,19.51
02063,Alaska,Chugach,20.44
02066,Alaska,Copper River,18.39
02068,Alaska,Denali,19.96
02070,Alaska,Dillingham,20.77
02090,Alaska,Fairbanks North Star,22.03
02100,Alaska,Haines,17.63
02105,Alaska,Hoonah-Angoon,18.00
02110,Alaska,Juneau,21.03
02122,Alaska,Kenai Peninsula,20.11
02130,Alaska,Ketchikan Gateway,21.31
02150,Alaska,Kodiak Island,19.04
02158,Alaska,Kusilvak,17.54
02164,Alaska,Lake and Peninsula,19.96
02170,Alaska,Matanuska-Susitna,19.92
02180,Alaska,Nome,20.54
02185,Alaska,North Slope,21.88
02188,Alaska,Northwest Arctic,19.94
02195,Alaska,Petersburg,20.17
02198,Alaska,Prince of Wales-Hyder,17.73
02201,Alaska,Prince of Wales-Outer Ketchikan,
02220,Alaska,Sitka,20.85
02230,Alaska,Skagway,21.27
02232,Alaska,Skagway-Hoonah-Angoon,
02240,Alaska,Southeast Fairbanks,18.66
02261,Alaska,Valdez-Cordova,
02270,Alaska,Wade Hampton,
02275,Alaska,Wrangell,17.58
02280,Alaska,Wrangell-Petersburg,
02282,Alaska,Yakutat,18.89
02290,Alaska,Yukon-Koyukuk,18.23
04000,Arizona,,18.81
04001,Arizona,Apache,14.07
04003,Arizona,Cochise,17.58
04005,Arizona,Coconino,20.22
04007,Arizona,Gila,17.45
04009,Arizona,Graham,18.61
04011,Arizona,Greenlee,20.36
04012,Arizona,La Paz,13.62
04013,Arizona,Maricopa,18.12
04015,Arizona,Mohave,15.48
04017,Arizona,Navajo,16.22
04019,Arizona,Pima,17.74
04021,Arizona,Pinal,17.86
04023,Arizona,Santa Cruz,17.57
04025,Arizona,Yavapai,15.02
04027,Arizona,Yuma,17.91
05000,Arkansas,,15.42
05001,Arkansas,Arkansas,13.26
05003,Arkansas,Ashley,12.29
05005,Arkansas,Baxter,13.21
05007,Arkansas,Benton,16.49
05009,Arkansas,Boone,14.34
05011,Arkansas,Bradley,12.86
05013,Arkansas,Calhoun,14.93
05015,Arkansas,Carroll,13.89
05017,Arkansas,Chicot,10.57
05019,Arkansas,Clark,14.66
05021,Arkansas,Clay,13.71
05023,Arkansas,Cleburne,13.11
05025,Arkansas,Cleveland,13.38
05027,Arkansas,Columbia,13.94
05029,Arkansas,Conway,13.54
05031,Arkansas,Craighead,14.37
05033,Arkansas,Crawford,13.63
05035,Arkansas,Crittenden,14.06
05037,Arkansas,Cross,13.14
05039,Arkansas,Dallas,12.10
05041,Arkansas,Desha,10.78
05043,Arkansas,Drew,13.67
05045,Arkansas,Faulkner,16.30
05047,Arkansas,Franklin,13.72
05049,Arkansas,Fulton,12.61
05051,Arkansas,Garland,14.05
05053,Arkansas,Grant,14.92
05055,Arkansas,Greene,14.86
05057,Arkansas,Hempstead,12.49
05059,Arkansas,Hot Spring,14.34
05061,Arkansas,Howard,13.14
05063,Arkansas,Independence,14.35
05065,Arkansas,Izard,13.74
05067,Arkansas,Jackson,13.54
05069,Arkansas,Jefferson,12.02
05071,Arkansas,Johnson,13.52
05073,Arkansas,Lafayette,11.21
05075,Arkansas,Lawrence,14.20
05077,Arkansas,Lee,12.23
05079,Arkansas,Lincoln,15.40
05081,Arkansas,Little River,13.89
05083,Arkansas,Logan,14.75
05085,Arkansas,Lonoke,16.04
05087,Arkansas,Madison,14.19
05089,Arkansas,Marion,13.05
05091,Arkansas,Miller,14.00
05093,Arkansas,Mississippi,13.40
05095,Arkansas,Monroe,11.47
05097,Arkansas,Montgomery,12.43
05099,Arkansas,Nevada,12.33
05101,Arkansas,Newton,13.59
05103,Arkansas,Ouachita,12.36
05105,Arkansas,Perry,14.37
05107,Arkansas,Phillips,10.36
05109,Arkansas,Pike,14.35
05111,Arkansas,Poinsett,13.38
05113,Arkansas,Polk,13.63
05115,Arkansas,Pope,14.36
05117,Arkansas,Prairie,13.62
05119,Arkansas,Pulaski,14.51
05121,Arkansas,Randolph,13.61
05123,Arkansas,St. Francis,12.05
05125,Arkansas,Saline,14.99
05127,Arkansas,Scott,14.06
05129,Arkansas,Searcy,12.54
05131,Arkansas,Sebastian,13.53
05133,Arkansas,Sevier,13.63
05135,Arkansas,Sharp,12.27
05137,Arkansas,Stone,12.67
05139,Arkansas,Union,12.85
05141,Arkansas,Van Buren,12.42
05143,Arkansas,Washington,16.40
05145,Arkansas,White,14.40
05147,Arkansas,Woodruff,12.25
05149,Arkansas,Yell,13.28
06000,California,,17.25
06001,California,Alameda,15.85
06003,California,Alpine,17.83
06005,California,Amador,17.51
06007,California,Butte,16.94
06009,California,Calaveras,15.75
06011,California,Colusa,16.99
06013,California,Contra Costa,16.78
06015,California,Del Norte,17.29
06017,California,El Dorado,18.35
06019,California,Fresno,15.23
06021,California,Glenn,17.18
06023,California,Humboldt,18.96
06025,California,Imperial,16.13
06027,California,Inyo,17.10
06029,California,Kern,16.91
06031,California,Kings,18.17
06033,California,Lake,16.40
06035,California,Lassen,19.86
06037,California,Los Angeles,15.85
06039,California,Madera,16.60
06041,California,Marin,17.05
06043,California,Mariposa,16.03
06045,California,Mendocino,17.34
06047,California,Merced,17.38
06049,California,Modoc,15.42
06051,California,Mono,19.41
06053,California,Monterey,16.32
06055,California,Napa,17.95
06057,California,Nevada,17.61
06059,California,Orange,16.50
06061,California,Placer,18.58
06063,California,Plumas,16.39
06065,California,Riverside,17.16
06067,California,Sacramento,16.57
06069,California,San Benito,19.26
06071,California,San Bernardino,16.66
06073,California,San Diego,20.60
06075,California,San Francisco,17.31
06077,California,San Joaquin,16.49
06079,California,San Luis Obispo,19.60
06081,California,San Mateo,16.65
06083,California,Santa Barbara,17.45
06085,California,Santa Clara,14.92
06087,California,Santa Cruz,17.21
06089,California,Shasta,17.88
06091,California,Sierra,16.21
06093,California,Siskiyou,16.12
06095,California,Solano,17.35
06097,California,Sonoma,20.84
06099,California,Stanislaus,17.70
06101,California,Sutter,16.14
06103,California,Tehama,16.41
06105,California,Trinity,14.89
06107,California,Tulare,15.85
06109,California,Tuolumne,17.98
06111,California,Ventura,17.70
06113,California,Yolo,17.85
06115,California,Yuba,18.07
08000,Colorado,,21.41
08001,Colorado,Adams,22.23
08003,Colorado,Alamosa,17.98
08005,Colorado,Arapahoe,19.75
08007,Colorado,Archuleta,17.66
08009,Colorado,Baca,16.84
08011,Colorado,Bent,18.36
08013,Colorado,Boulder,21.71
08014,Colorado,Broomfield,20.98
08015,Colorado,Chaffee,18.65
08017,Colorado,Cheyenne,18.45
08019,Colorado,Clear Creek,20.11
08021,Colorado,Conejos,16.59
08023,Colorado,Costilla,14.63
08025,Colorado,Crowley,20.23
08027,Colorado,Custer,16.39
08029,Colorado,Delta,16.48
08031,Colorado,Denver,24.92
08033,Colorado,Dolores,18.11
08035,Colorado,Douglas,19.41
08037,Colorado,Eagle,21.70
08039,Colorado,Elbert,19.58
08041,Colorado,El Paso,18.02
08043,Colorado,Fremont,17.87
08045,Colorado,Garfield,22.51
08047,Colorado,Gilpin,20.21
08049,Colorado,Grand,21.84
08051,Colorado,Gunnison,24.17
08053,Colorado,Hinsdale,18.24
08055,Colorado,Huerfano,15.82
08057,Colorado,Jackson,17.45
08059,Colorado,Jefferson,23.07
08061,Colorado,Kiowa,17.53
08063,Colorado,Kit Carson,17.72
08065,Colorado,Lake,21.11
08067,Colorado,La Plata,19.26
08069,Colorado,Larimer,23.33
08071,Colorado,Las Animas,16.63
08073,Colorado,Lincoln,20.09
08075,Colorado,Logan,20.40
08077,Colorado,Mesa,19.29
08079,Colorado,Mineral,18.39
08081,Colorado,Moffat,19.30
08083,Colorado,Montezuma,18.54
08085,Colorado,Montrose,17.98
08087,Colorado,Morgan,19.29
08089,Colorado,Otero,16.39
08091,Colorado,Ouray,17.98
08093,Colorado,Park,20.47
08095,Colorado,Phillips,16.65
08097,Colorado,Pitkin,20.94
08099,Colorado,Prowers,17.51
08101,Colorado,Pueblo,16.41
08103,Colorado,Rio Blanco,19.00
08105,Colorado,Rio Grande,17.00
08107,Colorado,Routt,22.95
08109,Colorado,Saguache,16.80
08111,Colorado,San Juan,18.95
08113,Colorado,San Miguel,21.03
08115,Colorado,Sedgwick,16.39
08117,Colorado,Summit,22.50
08119,Colorado,Teller,18.35
08121,Colorado,Washington,18.87
08123,Colorado,Weld,19.08
08125,Colorado,Yuma,18.21
09000,Connecticut,,16.97
09001,Connecticut,Fairfield,17.70
09003,Connecticut,Hartford,15.75
09005,Connecticut,Litchfield,17.27
09007,Connecticut,Middlesex,18.19
09009,Connecticut,New Haven,15.73
09011,Connecticut,New London,18.24
09013,Connecticut,Tolland,17.52
09015,Connecticut,Windham,18.57
10000,Delaware,,15.58
10001,Delaware,Kent,13.69
10003,Delaware,New Castle,15.99
10005,Delaware,Sussex,14.62
11000,District of Columbia,,24.19
11001,District of Columbia,District of Columbia,24.19
12000,Florida,,17.18
12001,Florida,Alachua,17.57
12003,Florida,Baker,19.24
12005,Florida,Bay,18.20
12007,Florida,Bradford,17.45
12009,Florida,Brevard,18.87
12011,Florida,Broward,16.48
12013,Florida,Calhoun,18.30
12015,Florida,Charlotte,19.47
12017,Florida,Citrus,21.60
12019,Florida,Clay,18.07
12021,Florida,Collier,18.94
12023,Florida,Columbia,18.10
12027,Florida,DeSoto,16.22
12029,Florida,Dixie,18.94
12031,Florida,Duval,18.59
12033,Florida,Escambia,16.95
12035,Florida,Flagler,19.37
12037,Florida,Franklin,18.17
12039,Florida,Gadsden,16.15
12041,Florida,Gilchrist,19.32
12043,Florida,Glades,18.15
12045,Florida,Gulf,19.82
12047,Florida,Hamilton,16.24
12049,Florida,Hardee,16.36
12051,Florida,Hendry,16.74
12053,Florida,Hernando,18.10
12055,Florida,Highlands,17.56
12057,Florida,Hillsborough,17.90
12059,Florida,Holmes,17.73
12061,Florida,Indian River,18.47
12063,Florida,Jackson,17.70
12065,Florida,Jefferson,17.73
12067,Florida,Lafayette,18.30
12069,Florida,Lake,17.70
12071,Florida,Lee,19.51
12073,Florida,Leon,19.15
12075,Florida,Levy,19.40
12077,Florida,Liberty,18.92
12079,Florida,Madison,17.52
12081,Florida,Manatee,18.66
12083,Florida,Marion,17.53
12085,Florida,Martin,20.88
