county,state,season,title,latitude,longitude,date,number,classification,geohash,temperature_high,temperature_mid,temperature_low,dew_point,humidity,cloud_cover,moon_phase,precip_intensity,precip_probability,precip_type,pressure,summary,conditions,uv_index,visibility,wind_bearing,wind_speed
Washakie County,Wyoming,Summer,,,,,798,Class B,,,,,,,,,,,,,,,,,,
Wyoming County,West Virginia,Winter,Report 13237: Daylight sighting near an abandonned mining chamber near Amigo,37.58135,-81.29745,12/3/2005,13237,Class A,dnwjy13p0p,37.8,29.5,21.6,17.5,61.7,66.7,0.07,0.204,100,"['rain', 'snow']",1018.7,Partly cloudy throughout the day with late afternoon rain or snow.,"Snow, Rain, Partially cloudy",,9.3,168.1,17.1
Windsor County,Vermont,Fall,"Report 13285: Evening sighting by motorists on Tyson Road, off Route 100, outside Ludlow",43.4654,-72.7051,10/8/2005,13285,Class A,drsr389u23,64.3,51.9,45.9,49.3,90.6,100,0.19,3.208,100,['rain'],1011.8,Cloudy skies throughout the day with a chance of rain throughout the day.,"Rain, Overcast",,5,356.2,7.6
Wythe County,Virginia,Spring,"Report 2285: Boy sees ""Bigfoot"" in the woods while looking out the car window",37.22647,-81.09017,4/8/1984,2285,Class A,dnw7f8zgyh,59,47.8,37,28.1,49.2,76.2,0.25,0,0,,1020.9,Partly cloudy throughout the day.,Partially cloudy,,13,107.3,11.5
Wood County,Texas,Winter,Report 2048: Night time road crossing observation,32.7943,-95.5425,12/22/1996,2048,Class A,9vu49fh0dk,75.3,71.4,68.1,58.6,64.7,52.9,0.43,,0,,,Partly cloudy throughout the day.,Partially cloudy,,10.5,180.4,20.8
Williamson County,Tennessee,Spring,,,,,6463,Class A,,,,,,,,,,,,,,,,,,
York County,South Carolina,Fall,,,,,977,Class A,,,,,,,,,,,,,,,,,,
Washington County,Rhode Island,Fall,Report 6496: Bicycling student has night encounter,41.45,-71.5,9/20/1974,6496,Class A,drm5ucxrc0,78.2,70.8,65.9,65.7,85.2,96.7,0.15,0,0,,1020.6,Cloudy skies throughout the day.,Overcast,,2.6,196.6,15
York County,Pennsylvania,Summer,,,,,8000,Class B,,,,,,,,,,,,,,,,,,
Yamhill County,Oregon,Spring,,,,,703,Class B,,,,,,,,,,,,,,,,,,
Washita County,Oklahoma,Fall,Report 9765: Motorist and children have daylight sighting near Burns Flat.,35.3011,-99.1702,9/28/1973,9765,Class A,9y32z667yc,72.6,59.7,47.6,51.2,75.7,14,0.07,0,0,,1017.2,Clear conditions throughout the day.,Clear,,20.4,263.8,12.7
Washington County,Ohio,Summer,Report 4983: Sighting and vocalizations at a home in Wayne National Forest,39.38745,-81.67339,8/1/1971,4983,Class A,dpjbj6r280,0,,0,,,,0.33,,,,,,,,,,
Westchester County,New York,Fall,Report 31940: Fishermen and Law Enforcement Officer Report Three Class A Sightings in Same Area Within a Year near the town of Somers,41.29873,-73.73717,9/1/2010,31940,Class A,dr7dfn4nx3,90.6,78.4,67.3,66,69,9,0.75,0,0,,1017,Clear conditions throughout the day.,Clear,,6.7,262.6,6.3
Washington County,Ohio,Summer,"Report 3180: Early evening sighting by two children, near Layman",39.40877,-81.73172,7/4/1978,3180,Class A,dpjbhnhu8z,76,70.3,67.6,62.5,76.7,99.6,0.97,0,0,,1014.2,Cloudy skies throughout the day.,Overcast,,3.6,348.9,11.2
Washington County,Ohio,Winter,Report 7220: A man relates a series of occurrences on the family farm involving an upright walking hair covered creature,39.54739,-81.39101,11/1/1978,7220,Class A,dpn0gzkuhp,61.4,49.4,41.4,43.7,81.8,27.5,0.03,0,0,,1025.4,Partly cloudy throughout the day.,Partially cloudy,,4.7,11.9,8.5
Washington County,Ohio,Summer,Report 4073: White hair covered creature seen at the edge of a cornfield,39.46019,-81.54855,7/4/1984,4073,Class A,dpn02rd0m0,79.9,74.7,70.1,63.4,68.2,91.6,0.2,0.039,100,['rain'],1012.7,Cloudy skies throughout the day with afternoon rain.,"Rain, Overcast",,4.6,199.2,13.9
Washington County,Ohio,Summer,Report 7085: Three boys playing games witness a huge creature walking through their front yard,39.3731,-81.65929,7/1/1990,7085,Class A,dnvzvz9sbt,83.8,74.4,65.7,66.9,79.2,67.4,0.29,0.079,100,['rain'],1011.9,Partly cloudy throughout the day with early morning rain.,"Rain, Partially cloudy",,6,319.2,15.8
