"","county","state","season","title","latitude","longitude","date","number","classification","temperature_high","temperature_mid","temperature_low","dew_point","humidity","cloud_cover","moon_phase","precip_intensity","precip_probability","precip_type","pressure","summary","conditions","uv_index","visibility","wind_bearing","wind_speed"
"1","Yuba County","California","Fall","Report 7211: Hunters Have Unusual Night Time Encounter",39.08,-121.42,"10/1/1959",7211,"Class B",48.4,34.2,21.4,15.8,50.6,1.6,0.98,0,0,"",1026.2,"Clear conditions throughout the day.","Clear",NA,9.7,260.4,9.4
"2","Tulare County","California","Fall","Report 1229: Boy Scout has late night sighting above Porterville",36.10222,-118.8489,"8/1/1955",1229,"Class A",81.4,71.8,64.5,60.3,70.8,35.9,0.81,NA,0,"",1015.8,"Clearing in the afternoon.","Partially cloudy",NA,9,286.4,9.2
"3","Tehama County","California","Fall","Report 849: Girl has daytime sighting near Payne's Creek",40.33556,-121.9139,"11/1/1968",849,"Class A",81.4,71.8,64.5,60.3,70.8,35.9,0.81,NA,0,"",1015.8,"Clearing in the afternoon.","Partially cloudy",NA,9,286.4,9.2
"4","Sutter County","California","Summer","Report 9202: Man remembers childhood daytime sighting along the Feather River",39.205,-121.58,"7/1/1965",9202,"Class A",81.4,71.8,64.5,60.3,70.8,35.9,0.81,NA,0,"",1015.8,"Clearing in the afternoon.","Partially cloudy",NA,9,286.4,9.2
"5","Stanislaus County","California","Fall","Report 14338: Old newspaper article (Titusville Morning Herald - Pennsylvania) about sightings near Orestimba Creek in the Diablo (Devil) Mountains",37.39555,-121.4871,"1869-11-10",14338,"Class A",81.4,71.8,64.5,60.3,70.8,35.9,0.81,NA,0,"",1015.8,"Clearing in the afternoon.","Partially cloudy",NA,9,286.4,9.2
"6","Siskiyou County","California","Summer","Report 2896: Sister and brother see 3 creatures near Yreka",41.82417,-122.9958,"8/1/1944",2896,"Class A",81.4,71.8,64.5,60.3,70.8,35.9,0.81,NA,0,"",1015.8,"Clearing in the afternoon.","Partially cloudy",NA,9,286.4,9.2
"7","Santa Barbara County","California","Spring","Report 25444: High school teacher recalls a nighttime sighting while camping in the Los Padres National Forest",34.73389,-119.9254,"4/15/1982",25444,"Class A",68,57.1,49.6,44.8,64.9,5.2,0.74,0,0,"",1014.2,"Clear conditions throughout the day.","Clear",NA,18.1,299.5,21.7
"8","San Luis Obispo County","California","Summer","Report 27983: Motorists encounter unusual creature on Highway 46 near Paso Robles, CA",35.665,-120.55,"8/1/1974",27983,"Class A",101.9,74.3,56.9,53.5,54.3,0,0.45,0,0,"",1012,"Clear conditions throughout the day.","Clear",NA,19.3,240,20.6
"9","San Diego County","California","Winter","Report 2779: A Local Writer Discusses Her Experiences Pursuing Local Reports and Legends",32.71528,-117.1564,"2/15/1981",2779,"Class C",74.6,63.3,55.1,53,71.1,70.1,0.39,0,0,"",1017,"Partly cloudy throughout the day.","Partially cloudy",NA,7.1,315.7,12.9
"10","San Diego County","California","Summer","Report 51530:  Camper on Mount Palomar reports heavy biped running through campground late at night.",33.32237,-116.8782,"7/13/1988",51530,"Class B",82.8,71.9,63.7,55.4,58.2,57.7,0,0,0,"",1013.3,"Clearing in the afternoon.","Partially cloudy",NA,9.7,231.9,9.8
