the_geom,state,city,country,description,location,cartodb_id,state_abbrev,longitude,latitude,city_longitude,city_latitude,fullname
0101000020E610000009F6042E349755C03EA6FFF686304040,Alabama,Montgomery,United States,"Student Dorms - Officer School attendees often report an eerie presence in building 1433, which was built closest to the river of all the dorm facilities. Often, young lieutenants will wake up to a bed soaked through with water. They’ll see shadows move down the hallway, (mostly on the second floor) and also many report having vivid and horrifying nightmares. Some will continue to scream even if prompted to wake up. A burnt electrical smell also pervades the 2nd floor on occasion, as well as haywire electrical appliances. The spirits are attributed to Confederate soldiers who drowned in the Alabama River while trying to cross into the city of Montgomery. The ghosts also show a predilection for students who are from northern or western states (states which are not known for their southern accent).",Maxwell Air Force Base,3734,AL,-86.3625598,32.3791188,-86.2999689,32.3668052,Maxwell AFB
0101000020E6100000F15A536A40C35CC0C0DCDDB9E61E4240,Nevada,Las Vegas,United States,a grayish figure and footsteps are observed here.,Nellis Air force base,7811,NV,-115.0508066,36.2414162,-115.1398296,36.1699412,Nellis AFB
0101000020E6100000DEEBFF779FE554C0BC95253ACB4B4040,Georgia,Robins Air Force Base,United States,"In March of 2001, there was a military aircraft that crashed about 40 miles from the base. The bodies and parts were stored in one of the hangars. since then there have been strange noises, cold spots, and some of the machines have turned on unexpectedly. WARNING: AIR FORCE POLICE PATROLS THE HANGAR AND SURROUNDING AREAS AND YOU WILL BE PROSECUTED BY FEDRAL COURT. - December 2003 update: When the plane went down they brought the bodies to the hangar for an accident investigation. I helped clean the hangar and set down the tarps for the bodies. Ever since then in the early morning and late at night-lights go on and off in the hangar. you always feel as though someone is walking around behind you. Some of the sheet metal machines run by themselves even when no one is around. This building is used for sheet metal repairs on aircraft.",Aircraft Hangar,8374,GA,-83.5878582,32.5921395,-83.5821872,32.6106269,Robins AFB
0101000020E6100000B2ABDA7F2E3158C0E4326E6AA08A4340,Kansas,Fort Irwin,United States,the fire alarm often go off in this building. The alarm wires are no longer hooked up because the fire marshal and the fire department are tired of going and resetting the alarms.,Community Hospital,5241,KS,-96.7684631,39.0830205,-96.7684631,39.0830205,Ft Riley
0101000020E6100000DC31D010E93158C05801BEDBBC884340,Kansas,Fort Riley,United States,has a woman wrapped in chains that frequently haunts there.,The Artillery Parade Field,5242,KS,-96.7798502,39.0682635,-96.8099772,39.110058,Ft Riley
0101000020E61000005C209CAAD63358C0E3546B61168E4340,Kansas,Fort Riley,United States,used to be the polo field is haunted by two gentleman on horseback playing Polo and they aren't exactly the most congenial of gentlemen they get upset when they are interrupted.,The Infantry Parade Field,5243,KS,-96.8099772,39.110058,-96.8099772,39.110058,Ft Riley
0101000020E610000017C0EF3AF63158C077E1BD5939894340,Kansas,Fort Riley,United States,Witnesses report seeing the apparition of an old nurse/caretaker.,Main Post,5244,KS,-96.7806537,39.0720627,-96.8099772,39.110058,Ft Riley
0101000020E61000003B3A0900693358C0807EDFBF79894340,Kansas,Fort Riley,United States,There is a spot around Moon Lake that has a Chiefs Circle. If you camp any where near the circle you start seeing what looks like fire flies that are in sets of two and stay low to the ground and don't separate. If you are awake when it happens they will chase you away from the circle. If you're not awake you are woke up with hoops and howls. Then chased. It is said that the lights are the eyes of braves protecting the chief’s circle.,Moon Lake,5245,KS,-96.8032837,39.074028,-96.8099772,39.110058,Ft Riley
0101000020E6100000AFAD4445419958C057DD34C703544140,Oklahoma,Fort Sill,United States,"Images of Indian Children playing on swing set in the backyard. A solider has been seen walking through the house. Voices and combat boots are heard. Lots of physical contact such as: Hair pulling, poking, kicking the end of the bed, touching shoulders, the list goes on.",Geronimo Acres Housing,3255,OK,-98.3946088,34.6563653,-98.4184224,34.5938359,Ft Sill
0101000020E6100000C9AEB48CD44A53C09E7F16A64A4D4340,Maryland,Indian head,United States,Many occupants admit feeling a strong presence in their homes. Also small objects are constantly coming up missing or moved in to strange places. Many have even heard sounds. Three occupants admit to seeing the old man on the Potomac while fishing.,NSWC BASE HOUSING,3150,MD,-77.169223,38.6038406,-77.1622016,38.6001186,Naval Surface Warfare Center Indian Head
