COUNTY/CITY,4/1/2020,1/1/2021,1/1/2022,1/1/2023,1/1/2024
California,,,,,
Incorporated Total,"32,988,287","32,841,388","32,654,297","32,633,393","32,705,206"
Balance Of State Total,"6,549,936","6,486,480","6,460,488","6,427,665","6,422,956"
State Total,"39,538,223"," 39,327,868 "," 39,114,785 "," 39,061,058 ","39,128,162"
Alameda County,,,,,
Alameda             ,"78,397","77,811","76,924","77,237","78,071"
Albany              ,"21,171","20,160","20,412","20,354","20,325"
Berkeley            ,"127,560","120,950","124,054","125,181","125,327"
Dublin              ,"74,458","73,617","72,870","72,681","72,917"
Emeryville          ,"12,699","12,658","12,480","12,686","13,314"
Fremont             ,"230,105","229,851","228,918","230,713","229,250"
Hayward             ,"164,029","162,079","159,986","160,699","159,770"
Livermore           ,"87,763","87,620","85,769","85,235","84,828"
Newark              ,"47,451","47,422","47,146","47,762","46,635"
Oakland             ,"433,148","431,843","422,071","427,305","425,093"
Piedmont            ,"11,268","11,160","10,930","10,878","10,782"
Pleasanton          ,"79,804","79,322","77,434","76,861","75,960"
San Leandro         ,"90,924","90,174","87,998","87,984","87,098"
Union City          ,"70,092","69,306","67,829","67,279","66,432"
Balance Of County    ,"153,484","152,368","148,862","147,801","146,067"
Incorporated,"1,528,869","1,513,973","1,494,821","1,502,855","1,495,802"
County Total,"1,682,353","1,666,341","1,643,683","1,650,656","1,641,869"
Alpine County,,,,,
County Total,"1,204","1,195","1,190","1,183","1,179"
Amador County,,,,,
Amador              ,200,200,197,196,193
Ione                ,"8,849","8,699","8,852","8,842","8,856"
Jackson             ,"5,031","4,962","4,953","4,933","4,867"
Plymouth            ,"1,067","1,066","1,046","1,063","1,061"
Sutter Creek        ,"2,644","2,629","2,601","2,589","2,553"
Balance Of County    ,"22,683","22,491","22,361","22,301","22,081"
Incorporated,"17,791","17,556","17,649","17,623","17,530"
County Total,"40,474","40,047","40,010","39,924","39,611"
Butte County,,,,,
Biggs               ,"1,963","1,989","1,991","1,951","1,853"
Chico               ,"101,703","103,016","105,517","107,639","109,589"
Gridley             ,"7,326","7,468","7,396","7,235","6,935"
Oroville            ,"20,009","20,343","19,432","18,841","18,129"
Paradise            ,"4,710","6,068","7,720","9,205","10,691"
Balance Of County    ,"75,921","68,519","64,128","61,708","58,731"
Incorporated,"135,711","138,884","142,056","144,871","147,197"
County Total,"211,632","207,403","206,184","206,579","205,928"
Calaveras County,,,,,
Angels City,"3,652","3,642","3,621","3,604","3,587"
Balance Of County    ,"41,640","41,617","41,400","41,295","41,255"
Incorporated,"3,652","3,642","3,621","3,604","3,587"
County Total,"45,292","45,259","45,021","44,899","44,842"
Colusa County,,,,,
Colusa              ,"6,380","6,368","6,372","6,429","6,447"
Williams            ,"5,544","5,525","5,537","5,568","5,528"
Balance Of County    ,"9,915","9,881","9,813","9,834","9,768"
Incorporated,"11,924","11,893","11,909","11,997","11,975"
County Total,"21,839","21,774","21,722","21,831","21,743"
Contra Costa County,,,,,
Antioch             ,"115,333","115,079","114,247","115,282","115,632"
Brentwood           ,"64,309","64,534","64,228","64,496","64,811"
Clayton             ,"11,064","10,980","10,807","10,687","10,683"
Concord             ,"125,520","124,775","122,713","121,663","121,513"
Danville            ,"43,667","43,401","43,096","42,736","42,567"
El Cerrito          ,"25,979","25,841","25,643","25,409","25,700"
Hercules            ,"26,023","26,255","25,869","26,202","26,063"
Lafayette           ,"25,425","25,265","24,948","24,823","24,808"
Martinez            ,"37,539","37,209","36,686","36,425","36,439"
Moraga              ,"17,303","17,226","17,025","16,858","16,784"
Oakley,"43,355","43,598","44,211","44,929","45,736"
Orinda              ,"19,521","19,488","19,340","19,231","19,191"
Pinole              ,"18,935","18,753","18,493","18,278","18,192"
Pittsburg           ,"76,246","75,769","74,644","74,736","75,085"
Pleasant Hill       ,"34,512","34,244","33,770","33,447","33,352"
Richmond            ,"115,900","115,187","114,143","113,122","112,735"
San Pablo           ,"32,205","31,989","31,499","31,163","31,088"
San Ramon           ,"84,599","84,474","83,502","82,754","82,525"
Walnut Creek        ,"70,306","70,520","69,394","69,010","69,433"
Balance Of County    ,"178,186","177,749","175,583","174,023","174,289"
Incorporated,"987,741","984,587","974,258","971,251","972,337"
County Total,"1,165,927","1,162,336","1,149,841","1,145,274","1,146,626"
Del Norte County,,,,,
Crescent City       ,"6,732","6,327","6,030","5,763","5,564"
Balance Of County    ,"21,011","21,123","20,952","20,823","20,781"
Incorporated,"6,732","6,327","6,030","5,763","5,564"
County Total,"27,743","27,450","26,982","26,586","26,345"
El Dorado County,,,,,
Placerville         ,"10,820","10,637","10,583","10,527","10,540"
South Lake Tahoe    ,"21,424","21,285","20,939","20,703","20,790"
Balance Of County    ,"158,941","158,815","157,772","156,837","157,253"
Incorporated,"32,244","31,922","31,522","31,230","31,330"
County Total,"191,185","190,737","189,294","188,067","188,583"
Fresno County,,,,,
Clovis              ,"119,950","121,509","123,486","124,361","126,133"
Coalinga            ,"18,038","17,537","17,292","17,191","17,107"
Firebaugh           ,"8,092","8,140","8,413","8,480","8,415"
Fowler              ,"6,702","6,839","6,938","7,163","7,367"
Fresno              ,"542,206","542,067","542,992","543,087","546,971"
Huron               ,"6,130","6,178","6,169","6,119","6,348"
Kerman              ,"16,004","16,049","16,616","16,950","17,256"
Kingsburg           ,"12,384","12,494","12,488","12,908","13,042"
Mendota             ,"12,585","12,547","12,486","12,462","12,531"
Orange Cove         ,"9,617","9,594","9,529","9,453","9,516"
Parlier             ,"14,567","14,524","14,465","14,382","14,368"
Reedley             ,"24,920","24,974","24,997","25,376","25,653"
Sanger              ,"26,573","26,631","26,372","26,286","26,357"
San Joaquin         ,"3,698","3,682","3,650","3,620","3,616"
Selma               ,"24,713","24,634","24,475","24,395","24,371"
Balance Of County    ,"162,475","160,803","159,809","158,681","158,380"
Incorporated,"846,179","847,399","850,368","852,233","859,051"
County Total,"1,008,654","1,008,202","1,010,177","1,010,914","1,017,431"
Glenn County,,,,,
Orland              ,"8,239","8,317","8,272","8,141","8,537"
Willows             ,"6,395","6,348","6,431","6,317","6,321"
Balance Of County    ,"14,283","14,147","14,074","13,872","13,878"
Incorporated,"14,634","14,665","14,703","14,458","14,858"
County Total,"28,917","28,812","28,777","28,330","28,736"
Humboldt County,,,,,
Arcata              ,"18,547","17,632","17,987","18,830","18,540"
Blue Lake           ,"1,205","1,180","1,176","1,164","1,149"
Eureka              ,"26,972","26,974","26,519","26,283","26,073"
Ferndale            ,"1,394","1,386","1,369","1,376","1,356"
Fortuna             ,"12,530","12,460","12,317","12,318","12,181"
Rio Dell            ,"3,390","3,361","3,313","3,290","3,241"
Trinidad            ,307,305,300,298,294
Balance Of County    ,"72,118","71,832","71,186","71,038","70,266"
