the_geom,temperature_low,observed,location_details,county,state,title,latitude,longitude,date,number,classification,geohash,temperature_high,temperature_mid,cartodb_id,dew_point,humidity,cloud_cover,moon_phase,precip_intensity,precip_probability,precip_type,pressure,summary,uv_index,visibility,wind_bearing,wind_speed,fullname
0101000020E61000003D0AD7A3702D55C09A99999999594640,49.61,"The creature was not tall by any means probably in the low 6 foot range, I would compare to my current height of 6'1"".  The hair/fur was a rather rusty brown and wavy or matted. It didn’t look like a recently cleaned coat if you were to compare it to cleaning your dogs coat etc. It looked like it was unkept and even sort of dread-locked appearance hair. I do recall that some of the hair on the body was rather long about 10 inches and I could see it move as the creature walked away. It looked a lot like of the reggae/rhasta type hair styles but not completely covering the body but just various strands of it throughout (maybe shedding from winter??).  The creature had a rather glum face or expression, like a lonely old man who didn’t have any friends. I do recall its eyes sort of reminding my like that of an orangutang and sunken in.  It by far didn’t look evil, or mad in any way even though we were terrified. I think we may have woken it up and it was surprised and maybe a little irritated that it had to leave its comfortable seat next to the creek.  The hair around its head sort of drooped down on the sides. There didn’t seem to be much hair on its face but it did have some. The nose may have been flat. I don’t recall any details about the mouth or ears etc. Its possible it had a slight cone shape to its head but not drastic.  I don’t recall any smells or odors associated with it.  There really wasn’t a neck and when it moved its legs just seemed to float forward without any obvious effort. The animal appeared confident, agile and very graceful.  Once it disappeared into where-ever, I don’t have clear details into the rest of the moment.  I know we walked over to the site and I felt the tree where it was sitting and recall it was warm to the touch.  I think we looked around for tracks and there may have been some but it was so mucky and swampy it wasn’t clear, but I’m fairly certain we could at least see that the ground and brush was a little disturbed etc.  There was not a lot of vegetation between me and the creature as far as having part of my vision blocked. I could see the entire creature for the most part except for minor sticks and things in the way as it moved.  We more than likely hung out at the spot for sometime recalling what we saw as young kids do. I think back now though, that I don’t recall each of us sharing exactly what the other one saw because I think we each thought that we saw the same thing.  As far as arm size or length I don’t recall a big size comparison but I think they were a little longer than a humans. It seemed to walk with its arms to its side with maybe the forearms slightly facing out/forward like a jogger but its arms didn’t swing at all to my recall. I was totally aware of such a creature as Bigfoot back then, even through I don’t recall us saying it was “bigfoot”. I think I believed in this creature the moment I had seen the Patterson film in the early 70's maybe a few years before my sighting.  It just seemed real even through what I saw didn’t resemble that one very much. Its possible what I saw was rather old. It just had the sense that it was wise and old.  I don’t feel that my prior belief or viewing of the Patterson film caused in anyway to make up what I saw in any way or influence/convince me in seeing what I saw, since they were slightly different in appearance etc. There were other reports in and around N. Michigan the entire time I grew up there. In fact a year or two after my sighting there had been accounts in the local newspaper (Crawford Co. Avalanche) of strange sighting and incidents by members of the National Guard. I heard that about 40 people watched a creature on the artillery range with binoculars for awhile and that something was jumping on a tank and banging on the outside while there were soldiers inside.  They did not see what it was because it was nighttime but the story’s I remember is that it was being called the “tank-banger”.  There have been many numerous sighting in and around the Grayling area through the 70's. I had briefly mentioned my story to the other friend who was with me about a year ago just to see if he remembered it.  I think he was surprised that I did too and seemed to not have as vivid of a recall as I feel I have.  In fact he was unsure of what he saw and sort of felt it was a human. Anything is possible and I respect what he claims to have seen, but I have no doubt that what I saw was how I described it above.  I never felt at the time it was a human or a bear, it felt like something unknown to my mind and creepy. Since we never talked about details after our sighting, I just assumed they saw exactly what I saw and they felt the same about me, unfortunately we didn’t compare our stories the moment it happened. I don’t recall who my third friend was but I’m certain there was one other with us. Some of the minor details have faded since this is about 35 years ago but the appearance of the animal has always been clear to me.","You can reach the location by traveling N. from Main Street In Grayling, going past the hospitol and elementary school and proceeding north down Roberts Road. Just past West Dr. about a 150 yards, turn west (left) into swampy cedar swamp. There is a small creek crossing the road, follow this creek upstream approx. 150 yards or about 5 minute walk.",Crawford County,Michigan,Report 23530: Man recalls childhood incident near Grayling,44.7,-84.71,1973-05-01,23530,Class A,dpgy23kh3g,56.34,52.975,1480,46.84,0.9,0.96,0.95,0.0177,1,rain,1011.94,Rain in the morning and afternoon.,5,3.64,121,5.11,Cp Grayling
0101000020E61000002DB29DEFA75653C03AB4C876BE9F4240,53.47,"During early fall of 1981 when I was in 9th grade, several of my friends and I were playing war in the woods of the Petersburg National Battlefield.  We rode our bikes to one of the wooded fortifications next to a stream.  That was our base where we parked our bikes.  We would form teams and on this day throw pebbles for a kill when you found someone. So one team would wait three minutes while the other team hid.  During one of our breaks I was busting some softball sized rocks against each other in the stream to see the crystals inside.  After we were done, near sunset, we started riding back to the base housing and I remembered the rocks and decided I wanted to go back and get some of the chips.  So two of my friends and I doubled back and coasted downhill and then up the embankment.  We stopped at the top and upon looking down at the stream saw what looked like a black bear in the stream where I had left the rocks.  When it stood up on two legs, turned around and looked at us we all started screaming because it was not at bear at all.  Though we were 40 feet apart we did not see a face, but the smell was like road kill.  It then ran on two feet without making any sound that I could hear north along the stream faster than we could have rode our bikes.  We rode back toward the base and gathered older kids playing basketball and went back searching armed with sticks, rocks, and mop poles.  No tracks or other signs beyond a few more turned over rocks in the stream were found.  We decided it was either a Bigfoot or some advanced all over hair ghillie battle suit with six million dollar man powered legs.","If you are going toward Hopewell from Petersburg on 36 there is a circular ""subdivision"" across from the gates on the left.  At the time, the basketball courts are on the northwest side and the trail into the woods runs northeast kind of parallel to 36.  The stream starts at the subdivision and runs through the woods below the earthen walls toward the northwest.  I could provide you GPS coordinates if that helped.  I can still see the area on google maps though I now live in Florida",Prince George County,Virginia,Report 40645: Memory told of observing a hairy biped close to Civil War fortifications near Fort Lee,37.248,-77.354,1981-09-19,40645,Class A,dq8gzub934,69.14,61.305,2005,48.7,0.66,0.39,0.7,0,0,,1013.1,Partly cloudy until evening.,5,8.13,279,8.59,Ft Lee
0101000020E61000000DE02D90A03458C0D0B359F5B9924340,13.04,"A women and her boy friend were on a walk on the Junction City side of Fort Riley. They were in a rural area about 10:00 p.m. on a brightly moonlit night. She describes how something followed them for about a half mile, but oddly, they did not panic. They could hear something moving in the brush. She never saw the creature, but her companion saw a creature on two feet from about 20 feet away as it came out of the tree line. It was very tall, as he told her five years later. He didn't want to tell her at the time as he didn't want to spook her.",,Riley County,Kansas,Report 1315: Couple reported being stalked while walking along a dark country road.,39.1463,-96.8223,2001-01-18,1315,Class A,9ygnsy25sz,37.63,25.335,3194,21.51,0.78,0.39,0.82,0.0062,0.79,snow,1020.78,Snow (< 1 in.) in the morning and breezy overnight.,2,8.43,307,4.42,Ft Riley
0101000020E61000009A99999999B957C0C898BB9690AF4340,27.8,"I was stationed at Ft. Leavenworth in 1976, I was assigned to the 205th Military Police Unit. One of our duties was to guard the CAC building at the fort. This is the most important building on base. It is what we called the Comand Staff War School. It was guarded 24/7 everyone in had to sign in and out. NO EXCEPTIONS this was a very serious detail. Personally I hated it. I found myself on duty at the CAC with another MP we called JJ he told me about how an MP Officer had seen some big hairy thing along the river banks just a few days earlier, The officer was scared spitless according to JJ's story. He went on to say that this thing had been seen several times over the last few years and it's got everybody pretty spooked. The Officer in Question made a formal report about his experiance. His career was over shortly after that, The military keeps records on everthing including this one. The river runs along the entire east side of this installation and it is really thick flooded timber and lowlands. You could hide a herd of elephants in there for years and no one would ever know. I never saw this thing but we did see foot prints one evening down along the river. I was impressed with the size of these things, They were 14-16 long but it was the width that was really shocking, 6-7in. wide. It was almost like a snow shoe at the ball of the foot, It was in fresh snow and back in the heavy stuff where no one would have gone to play games. We were sent there to search for a runaway dependent. (Some Officers daughter that had gone to Kansas City with her boy friend as it turned out.) Like I said these prints were big. It was never officially reported because of the recent short term career matter mentioned earlier. If you see one of these things and report it you are history, Period. Check it out you will find several old by now I'm sure reports of strange beings around Ft.Leavenworth. Good luck in finding this thing, It does exist. NO DOUBT!",The tracks were found in the refuge area along the river. The sighting was along the river near the building (cac).,Leavenworth County,Kansas,Report 7558: Military police find tracks at Ft.Leavenworth,39.3716,-94.9,2005-01-08,7558,Class B,9yuxbrrujw,34.09,30.945,3204,21.28,0.9,0.81,0.93,0.0001,0.06,snow,1024.77,Mostly cloudy throughout the day.,1,6.62,159,2.43,Ft Leavenworth
0101000020E61000009E5E29CB10375AC076E09C11A5554340,23.45,I was driving down the highway in a tractor-trailer rig about 3:30a.m.I was driving about 65 mph.I went around a corner and on the left side of the road I saw something that at first I thought was a deer.This thing than stood upright and seemed to be more than 7 feet tall.I was able to look at it for just a moment as I was driving by.It had wide shoulders and an ape-like face.It's eyes were yellow like a cat's eyes when you shine a light on them.It just kind of looked at me when I went by.I wasn't able to see anything else.,about 5 miles south of Colorado Springs on highway 115 at the botttom of the hill on a part of the road that the locals call Red Hill.It was on the east side of the road at the end of a highway guardrail.,El Paso County,Colorado,Report 3506: Trucker has nighttime roadside sighting south of Colorado Springs near Ft. Carson,38.6691,-104.8604,1999-12-15,3506,Class A,9wv7vz6zzd,44.76,34.105,4172,5.16,0.36,0.3,0.25,0,0,,1024.24,Partly cloudy throughout the day.,2,9.2,284,5.54,Ft Carson
0101000020E61000007B832F4CA65253C063EE5A423E584140,71.3,"I experienced this incident while living on a military base in North Carolina.  I was approximately 14 or 15 years old at the time, I am fifty now, however the incident is still fresh in my mind.  At that time there was nothing for a young boy to do so my favorite pastime was wandering the military reservation and search for discarded C rations as we never had enough to eat in the house.There was 8 people in my family.  One day I had skipped school to go C ration hunting.  I never will forget that day, it was very warm and sunny, which for North Carolina is not unusual for a fall day.  We used to call it indian summer.  I had been wandering the deeper recesses of the reservation and was quite proud of the fact that not only had I stumbled across old farmsteads that the Marine corps had condemed in order to take the land but had a pretty good supply of discarded C rations.  Realizing it was getting late and I had better get home, I hit a tank trail made by the marines for thier vehicles to use.  I was getting closer to home so I decided to leave the trail and short cut it through the woods.  I knew this particular area and always avoided it because it was known as a pocosin, which in local terms meant an area that is real dense and swampy.  As I made my way in to the pocosin something really seemed out of the ordinary, all day I was used to hearing the sounds of the forest, birds, frogs squirrels chattering and what was great not seeing another human being. Now it was so quiet it didn't seem natural.  Something made me stop and to this very day I am perplexed about this I don't know why because at that age you have no fear as you think you are going to live forever.  I had no fear this time either however I felt that I was being watched.  I have never had this feeling again.  I slowly started to turn my head to the right when I caught a glimpse of brown.  My first thought was oh its only a deer.  I stood stock still and kept looking at the brown patch and it didnt move.  It was in a VERY dense part of the pocosin and my second thought was maybe its not a deer but possibly a discarded marine corps field jacket.  Now that would be a treasure, as I started to go towards the object I seem to hear the crashing of brush first then that brown patch moved, only it moved higher.  I  estimate a height of between 8 and 10 feet.  As it grew in height it also grew broader exposing more of itself.  I never saw its head or any real features other than the long fur because that thing was moving so fast through that pocosin that I was amazed how any animal that size could do that.  The crashing of the branches and underbrush was loud and I all I could do was stand there.  I don't know how long I remained in that position, all I rememeber is the sounds of the forest returned and thats what snapped me back to the present.  I have only recalled this story once and was told never again to repeat it to anyone or go back in those woods.  I have never returned to that area.","On the military reservation Camp Lejuene marine corps base approximately 5 miles from Highway 24 in Hubert, North Carolina.",Onslow County,North Carolina,Report 1939: Youth's presence startles unknown animal,34.6894,-77.2914,1965-10-01,1939,Class A,dq1j35n07u,79.34,75.32,243,68.96,0.79,0.89,0.22,0,0,,1016.43,Humid and mostly cloudy throughout the day.,3,6.03,200,9.18,Marine Corps Base Camp Lejeune
0101000020E61000002384471B476053C0863DEDF0D7444140,70.88,"I have always wanted to tell this story to someone and after reading report #1939 I finally have the nerve to tell it. I live in Carteret county and at the time worked in Sneads Ferry (Onslow County) and the commute to work everyday took me through camp LeJeune via the back gate. As I made the turn onto Hwy. 17 off of Hwy. 172 I noticed what I thought was a bear sitting  down under a huge pecan tree on the right. Since there was about 50 or 60 feet distance between me & ""the bear"" I decided to pull of to the side of the road & watch him for a minute. It was a warm July morning & I had the windows of my truck rolled down as usual and noticed the most ungodly smell I had ever experienced. It was kinda like rotten eggs mixed with sewage & sulfur. As I sat & watched I quickly realized that this was no bear as the creature stood up from the croutched position walked over to the pecan tree & began shaking it. I was floored by what I was watching. Understand that this tree is immense & the creature had no problem shaking the pecans from it. Pecans that are still in the green hulls by the way. I wanted a better look at it since the whole sighting was with it's back to me so I put the truck in 1st gear (ready to bug out if need be)  & blowed the horn. It suddenly stopped & just completely froze still with it's back to me. it stayed like that til I layed down on the horn about 10 seconds later & it slowly turned & looked right at me. Thats when my heart decided to do the 50 yard dash in 2.3 seconds. I couldn't see it's face that well but it stood about 8 - 10 ft. Tall & it's hair was very long & matty. It stared at me for what seemed an eternity & made a loud screaching noise & tore off into the woods. The sprint from the tree to the woods was about 30 yards or so & it took him no time to reach them. I'm talking split seconds! On my way home that day I decided to stop again and though the creature was gone I could still smell that ungodly mix of stinch. To this day when I pass by that pecan tree my heart races.",From Hubert you can take Hwy. 172 to where it meets Hwy 17. From that intersection look to the right & you can't miss the pecan tree.,Onslow County,North Carolina,Report 9750: Motorist observes bipedal animal shaking a pecan tree near Camp LeJeune.,34.53784,-77.50434,1999-07-16,9750,Class A,dq0ukr7j9b,85.36,78.12,260,69.97,0.8,0.37,0.13,0,0,,1022.22,Partly cloudy throughout the day.,8,7.82,70,2.5,Marine Corps Base Camp Lejeune
0101000020E61000008FE4F21FD27B54C07958A835CD0B3E40,76.9,"It was a Monday, the first day of school. when i woke up at 8:00AM i heard my dogs barking. So i went outside and was trying to get the to settle down. When i did, i started listing, i heard loud growling, howls, and also something i have never heard before, something was hiting a tree with a bat, that is what it sounded like anyway. I had never heard these noises before, so i went back inside. i could not here nothing else when i was inside.",,Clay County,Florida,Report 24619: Teen hears possible knocks and vocalizations in woods across from his house outside Middleburg,30.0461,-81.9347,2008-09-04,24619,Class B,djmdzt8zpn,85.73,81.315,4468,70.13,0.74,0.48,0.16,0.0003,0.14,rain,1013.22,Partly cloudy throughout the day.,7,9.62,68,8.49,Cp Blanding
0101000020E6100000CDCCCCCCCC8054C0CEC29E76F8F33D40,63,While archeery hunting in the Camp Blanding WMA Block C I heard a loud growling grunting sound as  I was walking on Sapp road toward my truck . I was about 300 yds from county route 100 when I heard the noise. It was unlike any animal sound  I have ever heard. I have been a hunter and outdoorsman since my youth so for about 40 yearsI have been hunting from Pa. to florida and never experienced any thing like this  . I have heard Bobcats and hogs  but this was very different than thooses type of vocalizations,This occured in the archery only area of camp Blanding in C Block About 300 yds from the gate on Sapp rd.,Clay County,Florida,Report 27145: Bow hunter hears possible vocalizations in the Camp Blanding Wildlife Management Area,29.95301,-82.0125,2009-12-14,27145,Class B,djmdmub2fj,77.62,70.31,4470,66.39,0.89,0.65,0.94,0.0043,0.29,rain,1020.58,Mostly cloudy throughout the day.,2,6.56,179,1.75,Cp Blanding
0101000020E61000009FE57970777A54C07EA4880CABF03D40,61.06,"I was out hunting small game in Camp Blanding,on the still hunt side,close to Cemetary Road,I had a friend of mine about 150 yards to my right and about 30-40 yards in front.I saw something running between us,going from my right to in front of me,it was between the two of us.It stopped about 50-60 yards in front of me and turned and looked at me,I stood looking trying to figure out what I was seeing for maybe 30 seconds,I then got down on one knee,and watched about 45 seconds,it turned to its right,my left,and was gone.It was a dark brown,allmost black,running kinda like an old man that had back problems,bent over a little at the waist.It was on two legs,not four as all other animals in the woods have.I could see the arms moving as it ran,just as a man's would when he is running.I am 6 foot tall,I walked to the spot I saw it,loooking  at the tree it was beside,and was looking to see if I could tell how tall it was.From what I could tell from what I saw,it stood about 7 foot tall.I looked for any tracks,found none as it was a swamp,nothing but water,but you could see evidence that something was there from the way the grass in the water was laid over.I called to my friend,asked if he saw anything,he said no.We both started walking,hunting more,all the while I was thinking about what I saw.We walked approx. 1/2 mile from where I saw whatever it was,and he saw a VERY large pile of feces on the ground,we both looked at it for a while,poking at it with sticks,trying to figure out what kind of animal it could have come from.We both have hunted for over 35 years each,and have never seen anything like this.We saw alot of grassy materials,and alot of berries in it.No hair,bones,or anything that you  would see from most carnivores in the woods.","Hwy 21 south to Dade Road in Camp Blanding,right on Cemetary Rd to Wilson Rd,approx, 300  yards on the right,then approx.500 yards into the woods.",Clay County,Florida,"Report 28355: Hunter watches running bipedal creature, finds possible scat in the Camp Blanding Wildlife Management Area",29.94011,-81.91354,2009-12-15,28355,Class A,djmf242mu1,80.9,70.98,4471,64.49,0.85,0.49,0.98,0.0051,0.38,rain,1019.85,Foggy in the morning.,3,6.62,248,2.2,Cp Blanding
